Date,Open,High,Low,Close,Adj Close,Volume
2016-01-01,100.69907011736716,100.82329229170094,100.48271352659286,100.77808268184334,100.77808268184334,147122542
2016-01-04,100.99171939494124,101.62044030465057,100.55889249107467,100.59946441709104,100.59946441709104,94822264
2016-01-05,100.7236053532302,101.92596102032667,100.52101337585034,101.61206334809717,101.61206334809717,38525318
2016-01-06,101.75098112684088,104.37479091822696,101.56922449216754,103.99134865621811,103.99134865621811,41630692
2016-01-07,103.7072535029933,104.50552081625862,103.30773089029363,103.6578331452003,103.6578331452003,115863191
2016-01-08,103.90908812003732,104.7517234839879,102.89304804299856,103.32541271295037,103.32541271295037,46998169
2016-01-11,103.37940035087279,106.257683476646,102.85367589429147,105.83397016364813,105.83397016364813,19957081
2016-01-12,105.75580603217392,108.10576176375824,105.25161112834046,107.09144202639371,107.09144202639371,96021101
2016-01-13,107.12215338186898,107.55756499803373,106.08392606492002,106.37184764438948,106.37184764438948,127298553
2016-01-14,105.99396479724057,108.10122740613161,105.96304564906104,107.27325377731447,107.27325377731447,40271732
2016-01-15,107.36092881082004,107.88042393636063,105.91730938569314,106.5621184933869,106.5621184933869,63578445
2016-01-18,106.34273447612968,107.29719489496048,105.43312243371267,105.85202635530244,105.85202635530244,39608705
2016-01-19,105.56566057380816,107.23345001529053,105.25036533791194,106.26878318741653,106.26878318741653,115733743
2016-01-20,105.9452246708294,106.03783860432848,102.39779335114736,103.29328523534052,103.29328523534052,123574604
2016-01-21,103.52315171073228,104.49263912286546,99.9333186454572,100.68517847768395,100.68517847768395,70936136
2016-01-22,100.55846348347708,101.38860863563077,99.01284960687165,99.86949573461648,99.86949573461648,123770054
2016-01-25,100.17584096058363,100.96854312325755,97.9061831443425,98.39321261796628,98.39321261796628,24550703
2016-01-26,98.28777416341603,99.08644312576442,98.15908475001633,98.88776638952613,98.88776638952613,48823113
2016-01-27,98.55009275981863,99.34353848687346,96.8999118714993,97.57927973422169,97.57927973422169,41168629
